train/learning_rate,train/value_loss,time/fps,train/reward,train/std,train/policy_loss,time/total_timesteps,train/explained_variance,train/n_updates,time/iterations,train/entropy_loss,time/time_elapsed
0.0007,0.7045561671257019,74,1.204226,1.007347583770752,-14.85066032409668,500,0.25598424673080444,99,100,-41.3595085144043,6
0.0007,13.719270706176758,67,2.131674,1.008253574371338,141.86489868164062,1000,-0.02108943462371826,199,200,-41.37898254394531,14
0.0007,5.155402183532715,70,5.963602,1.010322093963623,92.80595397949219,1500,0.175922691822052,299,300,-41.443138122558594,21
0.0007,474.57080078125,67,-0.2988775,1.0089877843856812,-669.0672607421875,2000,0.007850289344787598,399,400,-41.40666580200195,29
0.0007,32.183555603027344,69,4.326805,1.0085846185684204,41.499961853027344,2500,0.0,499,500,-41.40019226074219,36
0.0007,77.8362045288086,67,-1.7474624,1.0113487243652344,227.6092071533203,3000,0.0,599,600,-41.474998474121094,44
0.0007,0.22447574138641357,69,0.37521935,1.0115351676940918,-7.8902268409729,3500,0.0,699,700,-41.480140686035156,50
0.0007,9.363777160644531,68,-0.45985693,1.010307788848877,-127.0765151977539,4000,0.0,799,800,-41.44108200073242,58
0.0007,0.5642808675765991,69,2.1555452,1.0118522644042969,-0.8035457730293274,4500,0.0,899,900,-41.4846305847168,64
0.0007,217.3096466064453,68,5.995792,1.011440396308899,576.2275390625,5000,-0.0003337860107421875,999,1000,-41.46550750732422,73
0.0007,527.804931640625,69,-1.0473282,1.011985182762146,-846.90234375,5500,0.0005579590797424316,1099,1100,-41.489288330078125,79
0.0007,181.26419067382812,68,-22.963049,1.011379599571228,-455.59771728515625,6000,0.0,1199,1200,-41.466163635253906,87
0.0007,1.133937120437622,68,0.64411694,1.011268973350525,-26.389673233032227,6500,0.0,1299,1300,-41.462825775146484,94
0.0007,4.432943344116211,68,0.9651887,1.011246681213379,80.27751922607422,7000,0.0,1399,1400,-41.460357666015625,102
0.0007,0.3673986494541168,68,-0.124551535,1.0128787755966187,-16.751291275024414,7500,5.960464477539063e-08,1499,1500,-41.50584411621094,108
0.0007,44.51628875732422,68,-3.9987166,1.0152751207351685,-264.415771484375,8000,0.0,1599,1600,-41.58037567138672,116
0.0007,60.4486083984375,68,-2.127827,1.017645001411438,271.9326477050781,8500,0.0,1699,1700,-41.646358489990234,123
0.0007,4.181184768676758,68,6.999501,1.0172101259231567,-33.32468795776367,9000,0.0,1799,1800,-41.627655029296875,131
0.0007,6.7835845947265625,68,0.2749657,1.0168070793151855,87.59814453125,9500,0.0,1899,1900,-41.614768981933594,137
0.0007,2.945251941680908,68,1.0002536,1.0173187255859375,-72.31734466552734,10000,-1.1920928955078125e-07,1999,2000,-41.63827896118164,146
0.0007,1.5302482843399048,68,0.038096067,1.0134724378585815,-33.19788360595703,10500,1.1920928955078125e-07,2099,2100,-41.51865005493164,152
0.0007,7.3267822265625,68,1.3334317,1.0130623579025269,77.54920959472656,11000,0.0,2199,2200,-41.51653289794922,160
0.0007,22.376901626586914,68,4.647681,1.0133342742919922,-170.19805908203125,11500,0.0,2299,2300,-41.51314163208008,167
0.0007,46.22246551513672,68,0.873572,1.0137733221054077,241.3813934326172,12000,0.0,2399,2400,-41.53190994262695,175
0.0007,0.4854201674461365,68,-1.0105201,1.0134809017181396,4.406836032867432,12500,5.960464477539063e-08,2499,2500,-41.52156448364258,181
0.0007,1.582942008972168,68,0.36483458,1.0142858028411865,-37.491798400878906,13000,0.0,2599,2600,-41.53527069091797,189
0.0007,2.920583963394165,68,3.0193677,1.0168033838272095,65.45289611816406,13500,-1.1920928955078125e-07,2699,2700,-41.603736877441406,196
0.0007,3.013343095779419,68,-0.116901085,1.0180507898330688,-53.95732879638672,14000,0.0,2799,2800,-41.64362716674805,204
0.0007,462.75579833984375,68,0.9939445,1.0183236598968506,-865.48291015625,14500,0.03201860189437866,2899,2900,-41.65154266357422,210
0.0007,40.56356430053711,68,-8.951362,1.0194910764694214,-218.7495880126953,15000,0.0,2999,3000,-41.68330383300781,218
0.0007,2.4813714027404785,68,2.57393,1.0213549137115479,-64.57862854003906,15500,0.0,3099,3100,-41.738582611083984,225
0.0007,2.3777990341186523,68,-0.25552082,1.0204577445983887,46.88220977783203,16000,-0.051480650901794434,3199,3200,-41.711181640625,233
0.0007,4.346661567687988,68,0.36293554,1.022477388381958,-69.48139190673828,16500,1.1920928955078125e-07,3299,3300,-41.76680374145508,239
0.0007,8.9893159866333,68,1.7991588,1.022511601448059,-119.84112548828125,17000,0.0,3399,3400,-41.77157974243164,247
0.0007,35.774024963378906,68,-5.099677,1.0221513509750366,-205.7886505126953,17500,0.0,3499,3500,-41.750797271728516,254
0.0007,85.28368377685547,68,-2.1293676,1.0216699838638306,-263.62139892578125,18000,1.7881393432617188e-07,3599,3600,-41.74688720703125,262
0.0007,2.6749489307403564,68,-0.03814857,1.0241446495056152,30.501476287841797,18500,0.0,3699,3700,-41.80995178222656,269
0.0007,0.23461821675300598,68,0.4602582,1.025539517402649,7.605370998382568,19000,0.0,3799,3800,-41.859107971191406,276
0.0007,1.145481824874878,68,-2.746915,1.0254286527633667,-26.115671157836914,19500,-1.1920928955078125e-07,3899,3900,-41.84742736816406,283
0.0007,64.10527038574219,68,-3.4078245,1.0278236865997314,320.9730224609375,20000,0.0,3999,4000,-41.916473388671875,291
0.0007,179.18174743652344,68,-5.143242,1.028159737586975,270.999267578125,20500,-0.0019140243530273438,4099,4100,-41.92389678955078,298
0.0007,34.800071716308594,68,-0.06014792,1.0283849239349365,-262.76397705078125,21000,-1.1920928955078125e-07,4199,4200,-41.93803787231445,305
0.0007,1.1216521263122559,68,-0.27904797,1.031267762184143,-25.818798065185547,21500,0.0,4299,4300,-42.00038146972656,311
0.0007,7.06952428817749,68,-0.5805148,1.0326383113861084,-88.04489135742188,22000,0.0,4399,4400,-42.04407501220703,319
0.0007,18.083209991455078,68,0.87506336,1.0340135097503662,159.63929748535156,22500,0.0,4499,4500,-42.083152770996094,326
0.0007,4.378385066986084,68,-8.251903,1.0345772504806519,-47.6297492980957,23000,5.960464477539063e-08,4599,4600,-42.10518264770508,333
0.0007,2734.14111328125,68,-2.9603984,1.0342484712600708,-2166.88525390625,23500,0.0,4699,4700,-42.088680267333984,341
0.0007,97.28157043457031,68,1.5324063,1.0342466831207275,-413.7569885253906,24000,0.0,4799,4800,-42.09075164794922,348
0.0007,0.1015450581908226,69,0.6287477,1.0354857444763184,-0.3333662152290344,24500,-1.1920928955078125e-07,4899,4900,-42.11871337890625,355
0.0007,0.14044886827468872,68,-0.34037367,1.034273386001587,-10.278769493103027,25000,0.0,4999,5000,-42.06925582885742,362
0.0007,2.5151712894439697,69,-2.35963,1.0368307828903198,44.82411575317383,25500,-0.07302296161651611,5099,5100,-42.14632034301758,369
0.0007,28.307815551757812,68,1.0174278,1.037628412246704,181.3277587890625,26000,-0.06666171550750732,5199,5200,-42.172550201416016,377
0.0007,3.4734702110290527,69,-1.2108275,1.0386011600494385,-9.747926712036133,26500,0.0,5299,5300,-42.19725799560547,383
0.0007,47.891510009765625,68,-8.261174,1.039808988571167,-248.6603546142578,27000,0.0,5399,5400,-42.23249816894531,391
0.0007,0.10472818464040756,69,-0.33503333,1.0391238927841187,-10.92013168334961,27500,0.0,5499,5500,-42.208831787109375,398
0.0007,22.305591583251953,68,-3.9807138,1.0416862964630127,-192.04537963867188,28000,0.0,5599,5600,-42.280967712402344,405
0.0007,9.839499473571777,69,0.102897644,1.041496753692627,-100.90229797363281,28500,1.1920928955078125e-07,5699,5700,-42.269500732421875,412
0.0007,29.100414276123047,68,-6.221708,1.041473627090454,216.6483154296875,29000,0.0,5799,5800,-42.26398468017578,420
0.0007,0.2660614848136902,69,1.7653376,1.0426737070083618,-7.041555881500244,29500,0.0,5899,5900,-42.30621337890625,427
0.0007,2.804506778717041,69,-3.0911942,1.0436434745788574,-46.65073013305664,30000,0.0,5999,6000,-42.330997467041016,434
0.0007,0.9354860186576843,69,0.2005587,1.0425093173980713,-28.32351303100586,30500,0.0,6099,6100,-42.29997253417969,441
0.0007,1.2066724300384521,69,-1.2093832,1.0435690879821777,17.14072608947754,31000,-1.1920928955078125e-07,6199,6200,-42.3287239074707,448
0.0007,18.050373077392578,69,-0.88426435,1.0449755191802979,-158.41104125976562,31500,0.0,6299,6300,-42.36389923095703,455
0.0007,13.060426712036133,69,-0.4618892,1.0443480014801025,146.01004028320312,32000,-1.1920928955078125e-07,6399,6400,-42.34213638305664,463
0.0007,5.142961025238037,69,2.7296724,1.0463489294052124,47.14655685424805,32500,0.0,6499,6500,-42.408477783203125,469
0.0007,4.561827659606934,69,2.7766995,1.0455864667892456,39.02300262451172,33000,-1.1920928955078125e-07,6599,6600,-42.38346862792969,477
0.0007,1.8749675750732422,69,0.4669612,1.046433687210083,12.634943962097168,33500,-0.019681453704833984,6699,6700,-42.40375900268555,483
0.0007,0.5562945008277893,69,-0.20517585,1.0496495962142944,33.378902435302734,34000,0.0,6799,6800,-42.48787307739258,491
0.0007,21.03044891357422,69,0.45473096,1.0541636943817139,179.2383270263672,34500,-0.06643235683441162,6899,6900,-42.619781494140625,498
0.0007,2.0397756099700928,69,-0.90544957,1.056459903717041,-45.57743835449219,35000,0.0,6999,7000,-42.678890228271484,506
0.0007,25.955459594726562,69,4.2935185,1.0567554235458374,201.36074829101562,35500,0.0,7099,7100,-42.69785690307617,512
0.0007,60.7314567565918,69,0.9077584,1.0567898750305176,296.78656005859375,36000,0.0,7199,7200,-42.687339782714844,520
0.0007,15.746175765991211,69,1.4152524,1.0572030544281006,169.51315307617188,36500,0.0,7299,7300,-42.694889068603516,527
0.0007,0.6883183717727661,69,-0.66028386,1.0569697618484497,30.835819244384766,37000,-0.03598678112030029,7399,7400,-42.68849182128906,535
0.0007,7.6769208908081055,69,1.2542222,1.0584301948547363,56.53148651123047,37500,5.960464477539063e-08,7499,7500,-42.730918884277344,541
0.0007,1.8154367208480835,69,0.97291595,1.0593528747558594,-45.562625885009766,38000,0.0,7599,7600,-42.75312042236328,549
0.0007,19.359046936035156,69,0.6306931,1.05962336063385,136.18289184570312,38500,0.0,7699,7700,-42.77280807495117,556
0.0007,12.014127731323242,69,-5.1509004,1.0616611242294312,24.5786190032959,39000,0.0,7799,7800,-42.817501068115234,563
0.0007,1.7189018726348877,69,1.1099321,1.061206579208374,-28.936960220336914,39500,0.1263878345489502,7899,7900,-42.809654235839844,570
0.0007,10.148792266845703,69,-0.23455769,1.0612468719482422,-136.63961791992188,40000,0.0,7999,8000,-42.81195068359375,578
0.0007,9.37808895111084,69,-4.072064,1.0652625560760498,-111.57354736328125,40500,0.016108274459838867,8099,8100,-42.916160583496094,585
0.0007,4.023672103881836,69,-1.4499568,1.0653185844421387,47.048126220703125,41000,0.0,8199,8200,-42.90497589111328,592
0.0007,26.715402603149414,69,1.9535137,1.0645341873168945,203.2071075439453,41500,0.0,8299,8300,-42.88787841796875,599
0.0007,42.877532958984375,69,2.6121194,1.0651400089263916,225.2007293701172,42000,0.0,8399,8400,-42.90066146850586,607
0.0007,8.243646621704102,69,-0.7168141,1.064989686012268,114.82413482666016,42500,-0.05894613265991211,8499,8500,-42.89495086669922,614
0.0007,3.1443252563476562,69,1.0134779,1.0652785301208496,72.39610290527344,43000,0.001516580581665039,8599,8600,-42.90340805053711,621
0.0007,61.34080123901367,68,3.9882424,1.0637940168380737,-336.4540100097656,43500,0.0,8699,8700,-42.860694885253906,631
0.0007,6.48178243637085,68,2.8955202,1.0643047094345093,-0.6012725830078125,44000,0.0,8799,8800,-42.88551330566406,638
0.0007,42.99759292602539,68,3.8137145,1.0657737255096436,220.1485595703125,44500,0.0,8899,8900,-42.9233283996582,646
0.0007,8.620565414428711,68,4.9490685,1.0656862258911133,29.27387046813965,45000,-1.1920928955078125e-07,8999,9000,-42.9207878112793,652
0.0007,5.623998641967773,68,0.24163808,1.0674952268600464,-88.05604553222656,45500,0.0,9099,9100,-42.959495544433594,660
0.0007,0.11560356616973877,68,0.45800906,1.068426251411438,2.6666712760925293,46000,0.0,9199,9200,-42.989192962646484,666
0.0007,0.8588436245918274,68,0.7085412,1.068434238433838,-35.2377815246582,46500,5.960464477539063e-08,9299,9300,-42.989810943603516,674
0.0007,12.196975708007812,69,0.4497692,1.068484902381897,127.49354553222656,47000,5.960464477539063e-08,9399,9400,-42.98688507080078,680
0.0007,0.8001615405082703,69,-2.2258947,1.0693013668060303,-17.72593879699707,47500,0.0,9499,9500,-42.99921798706055,688
0.0007,11.228248596191406,69,2.347377,1.0683811902999878,84.9670639038086,48000,-1.1920928955078125e-07,9599,9600,-42.97570037841797,694
0.0007,0.5994225740432739,69,0.95850635,1.0701578855514526,5.060843467712402,48500,-2.384185791015625e-07,9699,9700,-43.02533721923828,702
0.0007,2.3879785537719727,69,0.07573613,1.0709621906280518,17.825624465942383,49000,0.06196749210357666,9799,9800,-43.04644012451172,709
0.0007,4.7656731605529785,69,-3.8995728,1.072848916053772,86.08409881591797,49500,0.0,9899,9900,-43.091644287109375,716
0.0007,1.6713930368423462,69,-0.46709165,1.0735204219818115,-39.66759490966797,50000,1.1920928955078125e-07,9999,10000,-43.10930633544922,723
