time/total_timesteps,time/fps,time/iterations,train/reward,time/time_elapsed,train/clip_range,train/value_loss,train/std,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction
2048,75,1,-0.40001985,27,,,,,,,,,,,
4096,72,2,1.4344032,56,0.2,13.494016754627228,0.9996314644813538,0.015434484,4.715301513671875,-41.1458781003952,0.00025,-0.026404621347319336,-0.003016352653503418,10,0.2259765625
6144,72,3,-0.08314427,84,0.2,61.71418427228927,1.0008940696716309,0.017156996,54.04909133911133,-41.15889251232147,0.00025,-0.012611009814281714,0.00118941068649292,20,0.21259765625
8192,73,4,1.3524371,111,0.2,48.49151381254196,1.0015417337417603,0.015534284,20.357797622680664,-41.18420374393463,0.00025,-0.018020529349450955,-0.00033664703369140625,30,0.16748046875
10240,74,5,0.4436551,137,0.2,20.851700556278228,1.0032111406326294,0.017387759,14.145662307739258,-41.21839859485626,0.00025,-0.023516281662159598,-0.01266181468963623,40,0.1755859375
12288,74,6,-1.0793239,164,0.2,84.84605021476746,1.0054874420166016,0.014852127,57.07200241088867,-41.28287906646729,0.00025,-0.021699153067311273,0.02438068389892578,50,0.160009765625
14336,74,7,-0.20197026,192,0.2,29.646162629127502,1.0053298473358154,0.018354563,9.863057136535645,-41.303766179084775,0.00025,-0.029476665711263193,0.015016019344329834,60,0.19423828125
16384,74,8,1.0370144,219,0.2,20.545069605112076,1.0083718299865723,0.02289718,9.942431449890137,-41.34879815578461,0.00025,-0.024152704660082236,0.0034603476524353027,70,0.285009765625
18432,75,9,-0.22521529,245,0.2,69.43835725784302,1.011635661125183,0.022025606,40.43967819213867,-41.430526518821715,0.00025,-0.019128738751169293,0.002877175807952881,80,0.182373046875
20480,75,10,-10.51204,272,0.2,54.92164251804352,1.0129165649414062,0.019812988,21.90989112854004,-41.49601533412933,0.00025,-0.019688332171062937,0.029970109462738037,90,0.1796875
22528,75,11,-0.042061757,298,0.2,33.07208753824234,1.0163915157318115,0.021506794,8.036728858947754,-41.56951205730438,0.00025,-0.019733120483579114,-0.026484251022338867,100,0.23359375
24576,75,12,-1.7164029,324,0.2,58.47576041221619,1.0183154344558716,0.01904835,25.208938598632812,-41.65054492950439,0.00025,-0.019990359676012304,0.0025714635848999023,110,0.2072265625
26624,75,13,0.5623365,351,0.2,133.16660466194153,1.0195034742355347,0.023998052,70.59282684326172,-41.69215197563172,0.00025,-0.010049586977402214,0.012048423290252686,120,0.213525390625
28672,75,14,-0.34473127,377,0.2,23.631344389915466,1.0216008424758911,0.0191974,6.305112361907959,-41.73274192810059,0.00025,-0.011659367874381132,0.007006525993347168,130,0.1853515625
30720,76,15,-0.086038835,404,0.2,20.21867550611496,1.0246505737304688,0.028790018,8.660322189331055,-41.810863614082336,0.00025,-0.015724044016678818,0.10120397806167603,140,0.246533203125
32768,76,16,-3.6974976,430,0.2,67.5790540933609,1.0257198810577393,0.017568741,47.02937316894531,-41.86800165176392,0.00025,-0.016601194624672643,0.06984138488769531,150,0.161328125
34816,76,17,2.9302201,456,0.2,68.30797373056411,1.0262001752853394,0.017249616,18.806669235229492,-41.89452378749847,0.00025,-0.014106995762267616,-0.018679261207580566,160,0.221826171875
36864,76,18,-0.5403917,484,0.2,56.7743402838707,1.0274566411972046,0.024320282,27.021631240844727,-41.913069176673886,0.00025,-0.015103765951062087,-0.01533496379852295,170,0.20009765625
38912,76,19,-1.4087368,511,0.2,122.8841278553009,1.0275038480758667,0.02204452,55.59945297241211,-41.93377428054809,0.00025,-0.015155141256400384,0.011927366256713867,180,0.172119140625
40960,76,20,-0.2570196,538,0.2,61.95955605506897,1.0277864933013916,0.020488786,22.77861785888672,-41.929334664344786,0.00025,-0.014843259629560634,0.0075896382331848145,190,0.186669921875
43008,76,21,0.8828444,565,0.2,58.23126225471496,1.030107855796814,0.018152215,28.402509689331055,-41.97371518611908,0.00025,-0.018295287917135285,-0.07340586185455322,200,0.178125
45056,76,22,-0.0047159386,592,0.2,38.03901026248932,1.032098412513733,0.017821282,22.70001983642578,-42.02998418807984,0.00025,-0.02155668651976157,0.06025034189224243,210,0.190185546875
47104,76,23,-0.51797074,619,0.2,26.30479370355606,1.0354981422424316,0.031535674,10.500550270080566,-42.1099659204483,0.00025,-0.017252627699053846,0.023202955722808838,220,0.246240234375
49152,76,24,0.8540635,646,0.2,20.752407366037367,1.0378520488739014,0.044182222,9.243854522705078,-42.19267704486847,0.00025,-0.016406989801907912,-0.02331233024597168,230,0.287939453125
51200,75,25,3.8321671,676,0.2,44.03205443620682,1.0396052598953247,0.026867181,29.821964263916016,-42.24264404773712,0.00025,-0.018076713613118044,0.07513892650604248,240,0.278271484375
53248,75,26,0.039883565,703,0.2,46.87359708547592,1.0416741371154785,0.029732034,28.41225814819336,-42.29516327381134,0.00025,-0.013414122111862525,0.02278292179107666,250,0.278759765625
55296,75,27,-1.2063733,730,0.2,21.396147191524506,1.0448060035705566,0.027358225,9.756194114685059,-42.37463936805725,0.00025,-0.023497340426547452,0.10873472690582275,260,0.282177734375
57344,75,28,0.715983,757,0.2,61.49884178638458,1.0468536615371704,0.035849754,32.83160400390625,-42.44374053478241,0.00025,-0.009605293444474227,0.018318653106689453,270,0.33388671875
59392,75,29,-6.1509,784,0.2,48.68441789150238,1.0478094816207886,0.027875192,19.356590270996094,-42.47998604774475,0.00025,-0.012795782263856382,-0.011414170265197754,280,0.2431640625
61440,75,30,-1.0967584,811,0.2,20.532966709136964,1.0501161813735962,0.034758825,6.213089942932129,-42.518613529205325,0.00025,-0.011411110202607233,0.13313502073287964,290,0.27998046875
63488,75,31,-0.44029438,837,0.2,40.866434943676,1.0510780811309814,0.025303785,21.273765563964844,-42.57345902919769,0.00025,-0.009985479620809201,0.14413243532180786,300,0.20205078125
65536,75,32,-0.12972878,864,0.2,46.80365635156632,1.053295373916626,0.022335937,22.78584098815918,-42.61424703598023,0.00025,-0.008957693735646899,0.07890880107879639,310,0.229296875
67584,75,33,-1.5203421,891,0.2,17.460472083091737,1.0554741621017456,0.02726089,5.559107303619385,-42.68017001152039,0.00025,-0.017019900027662516,-0.024378061294555664,320,0.295068359375
69632,75,34,-1.52805,918,0.2,51.62618250846863,1.056708812713623,0.029413331,31.006017684936523,-42.7188099861145,0.00025,-0.010966440281481481,0.045251429080963135,330,0.234619140625
71680,75,35,2.2221184,945,0.2,78.75088393688202,1.0585236549377441,0.02485558,33.8589973449707,-42.764287281036374,0.00025,-0.013849344782647677,0.019492626190185547,340,0.244482421875
73728,75,36,-0.30927032,971,0.2,16.297840821743012,1.0600335597991943,0.020608231,6.011455059051514,-42.80873019695282,0.00025,-0.015385555382817984,0.2570956349372864,350,0.204248046875
75776,75,37,1.2816786,998,0.2,59.14044725894928,1.0661801099777222,0.03897212,42.442901611328125,-42.896057868003844,0.00025,-0.0075150404300075024,0.0058563947677612305,360,0.335595703125
77824,75,38,0.99116784,1024,0.2,65.68546090126037,1.068088412284851,0.032032922,30.285507202148438,-43.02948701381683,0.00025,-0.0059963564344798215,0.017386019229888916,370,0.321044921875
79872,75,39,-0.5890292,1051,0.2,10.447320753335953,1.0693351030349731,0.03141741,4.7902727127075195,-43.0663937330246,0.00025,-0.00948484051041305,0.046711504459381104,380,0.277392578125
